,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant,Coefficient,Coefficient/s
335,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0130.jpg,mark_zuckerbergs_testimony_before_congress-0130-1.jpg,0.088145204,0.002578722,0.098022819,0.203107938,0.352464765,0.030272428,0.225408033,Sad,1,1
336,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0106.jpg,mark_zuckerbergs_testimony_before_congress-0106-1.jpg,0.151508763,0.004170412,0.099022597,0.31416434,0.251414776,0.014823771,0.164895311,Happy,0,0.666666667
337,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0263.jpg,mark_zuckerbergs_testimony_before_congress-0263-1.jpg,0.051382095,0.002819575,0.174865529,0.103146464,0.626011431,0.008726198,0.033048674,Sad,1,0.666666667
338,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0152.jpg,mark_zuckerbergs_testimony_before_congress-0152-1.jpg,0.152801216,0.005400901,0.191169813,0.005335146,0.585972965,0.001166023,0.058153942,Sad,1,0.666666667
339,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0112.jpg,mark_zuckerbergs_testimony_before_congress-0112-1.jpg,0.141394988,0.000879936,0.357207865,0.001085251,0.436862379,0.003193598,0.059375919,Sad,1,1
340,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0118.jpg,mark_zuckerbergs_testimony_before_congress-0118-1.jpg,0.234483361,0.004243772,0.187550336,0.001893114,0.292353719,0.010962391,0.268513292,Sad,1,1
341,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0118.jpg,mark_zuckerbergs_testimony_before_congress-0118-2.jpg,0.087325752,0.001553039,0.229783595,0.040805712,0.579189658,0.009180057,0.052162152,Sad,1,1
342,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0118.jpg,mark_zuckerbergs_testimony_before_congress-0118-3.jpg,0.076596178,0.000236656,0.266549587,0.002424904,0.275131434,0.014981913,0.364079267,Neutral,0,1.333333333
343,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0100.jpg,mark_zuckerbergs_testimony_before_congress-0100-1.jpg,0.106236987,0.000710065,0.1741869,0.119436882,0.364976764,0.004978532,0.229473889,Sad,1,1.333333333
344,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0100.jpg,mark_zuckerbergs_testimony_before_congress-0100-2.jpg,0.147524118,0.003967503,0.371224135,0.042712323,0.358659834,0.029824812,0.046087351,Fear,3,1.333333333
345,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0100.jpg,mark_zuckerbergs_testimony_before_congress-0100-3.jpg,0.087885968,0.000764434,0.082159385,0.433586061,0.188558295,0.015600771,0.191445023,Happy,0,0.333333333
346,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0132.jpg,mark_zuckerbergs_testimony_before_congress-0132-1.jpg,0.108777173,0.008411329,0.220323086,0.009760109,0.574146867,0.001560072,0.077021368,Sad,1,0.333333333
347,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0132.jpg,mark_zuckerbergs_testimony_before_congress-0132-2.jpg,0.100524902,0.000277946,0.152215704,0.083277941,0.276879787,0.030666281,0.356157392,Neutral,0,0.333333333
348,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0026.jpg,mark_zuckerbergs_testimony_before_congress-0026-1.jpg,0.111804835,0.002460838,0.07231421,0.545036376,0.122317038,0.009792431,0.136274263,Happy,0,0
349,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0026.jpg,mark_zuckerbergs_testimony_before_congress-0026-2.jpg,0.03554032,0.00134831,0.025201585,0.839386582,0.063275397,0.004227551,0.031020215,Happy,0,0
350,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0026.jpg,mark_zuckerbergs_testimony_before_congress-0026-3.jpg,0.055547655,0.000191323,0.057008553,0.576450408,0.198909625,0.003234406,0.108658023,Happy,0,0
351,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0032.jpg,mark_zuckerbergs_testimony_before_congress-0032-1.jpg,0.056919754,0.000416933,0.192262456,0.05364871,0.278247952,0.030744698,0.387759507,Neutral,0,2
352,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0230.jpg,mark_zuckerbergs_testimony_before_congress-0230-1.jpg,0.108155169,0.007601963,0.255674392,0.082459904,0.39594987,0.019553091,0.130605653,Sad,1,2
353,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0230.jpg,mark_zuckerbergs_testimony_before_congress-0230-2.jpg,0.349117786,0.014518723,0.334679991,0.000305092,0.244786814,0.02351661,0.033074997,Anger,5,2
354,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0230.jpg,mark_zuckerbergs_testimony_before_congress-0230-3.jpg,0.154784784,0.006257942,0.330543548,0.001200851,0.361158192,0.009911151,0.136143535,Sad,1,1
355,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0230.jpg,mark_zuckerbergs_testimony_before_congress-0230-4.jpg,0.154962778,0.000792821,0.128013313,0.020829758,0.582699418,0.006257542,0.106444426,Sad,1,1
